Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides PM1_rep_1	Peptides PM1_rep_2	Peptides PM1_rep_3	Peptides PM2_rep_1	Peptides PM2_rep_2	Peptides PM2_rep_3	Razor + unique peptides PM1_rep_1	Razor + unique peptides PM1_rep_2	Razor + unique peptides PM1_rep_3	Razor + unique peptides PM2_rep_1	Razor + unique peptides PM2_rep_2	Razor + unique peptides PM2_rep_3	Unique peptides PM1_rep_1	Unique peptides PM1_rep_2	Unique peptides PM1_rep_3	Unique peptides PM2_rep_1	Unique peptides PM2_rep_2	Unique peptides PM2_rep_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type PM1_rep_1	Identification type PM1_rep_2	Identification type PM1_rep_3	Identification type PM2_rep_1	Identification type PM2_rep_2	Identification type PM2_rep_3	Sequence coverage PM1_rep_1 [%]	Sequence coverage PM1_rep_2 [%]	Sequence coverage PM1_rep_3 [%]	Sequence coverage PM2_rep_1 [%]	Sequence coverage PM2_rep_2 [%]	Sequence coverage PM2_rep_3 [%]	Intensity	Intensity PM1_rep_1	Intensity PM1_rep_2	Intensity PM1_rep_3	Intensity PM2_rep_1	Intensity PM2_rep_2	Intensity PM2_rep_3	LFQ intensity MME rep_1	LFQ intensity MME rep_2	LFQ intensity MME rep_3	LFQ intensity PME rep_1	LFQ intensity PME rep_2	LFQ intensity PME rep_3	MS/MS count PM1_rep_1	MS/MS count PM1_rep_2	MS/MS count PM1_rep_3	MS/MS count PM2_rep_1	MS/MS count PM2_rep_2	MS/MS count PM2_rep_3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__P00761	CON__P00761	4	4	4		1	4	4	4	4	3	3	4	4	4	4	3	3	4	4	4	4	3	3	4	4	4	26.8	26.8	26.8	24.409	231	231	0	72.97	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	26.8	20.8	20.8	26.8	26.8	26.8	1.7666E+11	26962000000	33517000000	31893000000	25868000000	31308000000	27117000000	20139000000	25786000000	18407000000	21414000000	25188000000	24672000000	12	13	15	9	8	11	68			+	0	7023;8674;13263;14646	True;True;True;True	7423;7424;9167;14167;15643	42285;42286;42287;42288;42289;42290;42291;42292;42293;42294;42295;42296;42297;42298;42299;42300;42301;52148;52149;52150;52151;52152;52153;52154;52155;52156;52157;52158;52159;52160;52161;52162;52163;52164;52165;52166;52167;52168;52169;52170;52171;52172;52173;52174;52175;52176;52177;52178;52179;52180;80387;80388;80389;80390;89365;89366;89367;89368;89369;89370;89371;89372;89373;89374;89375;89376;89377;89378;89379;89380	31500;31501;31502;31503;31504;31505;31506;31507;31508;31509;31510;31511;31512;31513;38748;38749;38750;38751;38752;38753;38754;38755;38756;38757;38758;38759;38760;38761;38762;38763;38764;38765;38766;38767;38768;38769;38770;38771;38772;38773;38774;38775;38776;38777;38778;38779;38780;38781;38782;38783;38784;59550;59551;59552;59553;66668;66669;66670;66671;66672;66673;66674;66675;66676;66677;66678;66679;66680;66681	31509;38756;59551;66668	0	94
CON__P02533;CON__Q61782	CON__P02533	7;3	2;1	2;1		2	7	2	2	4	3	6	6	6	7	1	1	1	2	2	2	1	1	1	2	2	2	16.9	7.8	7.8	51.621	472	472;93	0	20.461	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	11.4	9.1	13.8	16.9	16.9	16.9	227400000	8382600	10034000	14199000	74605000	61034000	59140000	0	0	0	47302000	39336000	38081000	0	1	0	2	2	2	7			+	1	972;1375;1523;8515;9094;14271;15177	False;True;False;False;True;False;False	1021;1469;1623;9001;9603;15238;16212	5870;5871;5872;5873;5874;5875;8460;8461;8462;9376;9377;9378;9379;51228;51229;54710;54711;54712;54713;54714;54715;87002;87003;87004;87005;87006;92720;92721;92722;92723;92724;92725	4378;4379;4380;6294;6295;6296;6970;38077;40606;40607;40608;40609;64814;64815;64816;69212;69213;69214;69215	4378;6294;6970;38077;40609;64814;69213		
CON__P02662	CON__P02662	1	1	1		1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	5	5	5	22.975	199	199	0.0030022	2.095				By matching	By matching	By MS/MS	0	0	0	5	5	5	47225000	0	0	0	14821000	11733000	20670000	0	0	0	0	0	13509000	0	0	0	0	0	1	1			+	2	16618	TRUE	17738	101809;101810;101811	76306	76306		
CON__P02754	CON__P02754	2	2	2		1	2	2	2	0	0	0	2	2	2	0	0	0	2	2	2	0	0	0	2	2	2	18.5	18.5	18.5	18.281	162	162	0.00029257	2.6605				By MS/MS	By MS/MS	By MS/MS	0	0	0	18.5	18.5	18.5	402850000	0	0	0	135960000	150600000	116290000	0	0	0	93970000	83388000	80640000	0	0	0	2	2	1	5			+	3	15387;16116	True;True	16439;17211	94021;94022;94023;98822;98823;98824	70138;70139;70140;73988;73989	70139;73988		
CON__P02769;CON__P02768-1	CON__P02769	4;1	4;1	4;1		2	4	4	4	1	1	1	4	4	4	1	1	1	4	4	4	1	1	1	4	4	4	8.4	8.4	8.4	69.293	607	607;609	0	13.101	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	1.8	1.8	1.8	8.4	8.4	8.4	506480000	4631300	3913200	3900100	182830000	158960000	152240000	0	0	0	115050000	104250000	97110000	0	0	0	3	4	2	9			+	4	1995;6433;8047;12051	True;True;True;True	2126;6800;8507;12883	12190;12191;12192;38632;38633;38634;38635;38636;38637;48448;48449;48450;73225;73226;73227	9090;9091;28588;28589;28590;36085;54193;54194;54195	9091;28590;36085;54195		
CON__P04264;CON__ENSEMBL:ENSBTAP00000038253	CON__P04264	19;3	19;3	15;1		2	19	19	15	17	15	14	17	16	17	17	15	14	17	16	17	13	11	10	14	13	14	32.3	32.3	25.9	66.017	644	644;606	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	28.3	23.1	22.4	29.3	26.7	28.4	22563000000	2120400000	1949500000	2109000000	6135400000	5040000000	5208500000	1797400000	1862900000	1794300000	3523400000	3664400000	3692800000	14	10	14	15	18	17	88			+	5	3000;4613;6737;8206;9404;9405;10629;10942;10943;11049;11666;12590;12748;12818;12919;13913;14132;16161;16412	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	3195;4883;7120;8675;9938;9939;11344;11697;11698;11816;11817;12471;13462;13629;13702;13806;14854;15090;17262;17521	18244;18245;18246;18247;18248;18249;27660;27661;27662;27663;27664;27665;27666;40413;40414;40415;49437;49438;49439;56405;56406;56407;56408;56409;56410;56411;56412;56413;56414;56415;56416;64285;64286;64287;66242;66243;66244;66245;66246;66247;66248;66249;66250;66251;66252;66253;66254;66255;66256;66914;66915;66916;66917;66918;66919;66920;66921;66922;66923;66924;66925;70721;70722;70723;70724;70725;70726;76551;76552;77395;77396;77397;77398;77399;77400;77819;77820;77821;77822;77823;77824;77825;77826;77827;77828;78412;78413;78414;78415;78416;78417;84756;84757;84758;84759;84760;86089;86090;86091;86092;86093;86094;99088;99089;99090;99091;99092;99093;100648;100649;100650;100651;100652	13556;13557;13558;13559;13560;20462;20463;20464;20465;20466;20467;29967;29968;36793;36794;41721;41722;41723;41724;41725;41726;41727;41728;41729;47606;49012;49013;49014;49015;49016;49017;49018;49019;49020;49021;49521;49522;49523;49524;49525;49526;49527;49528;49529;49530;49531;49532;52403;52404;52405;52406;52407;52408;56712;57282;57283;57284;57285;57583;57584;57585;57586;57587;57588;57589;57590;58060;58061;58062;58063;58064;58065;63034;63035;63036;63037;63038;64087;64088;64089;64090;74176;74177;74178;74179;74180;75420;75421;75422	13559;20465;29968;36794;41724;41729;47606;49018;49021;49530;52407;56712;57283;57585;58061;63036;64089;74179;75421	1	262
CON__P08779;CON__Q6IFX2;CON__P19012;CON__Q9Z2K1;CON__Q3ZAW8;CON__A2A4G1;CON__P08727;CON__P19001;CON__P35900;CON__Q9D312;CON__Q8N1A0	CON__P08779	14;4;4;4;4;3;2;2;2;2;1	14;4;4;4;4;3;2;2;2;2;1	9;0;0;1;1;0;0;0;0;0;0		11	14	14	9	6	6	8	13	12	13	6	6	8	13	12	13	3	4	3	9	8	8	40.2	40.2	31.1	51.267	473	473;452;456;469;474;456;400;403;424;431;295	0	288.1	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	16.1	17.8	18.4	40.2	35.5	35.5	3159300000	135920000	114940000	195350000	931940000	901660000	879490000	225660000	219980000	223560000	489800000	477590000	473280000	2	3	1	13	12	13	44			+	6	972;1374;1523;1992;5991;6946;8515;9093;11837;11893;13724;13763;14271;15177	True;True;True;True;True;True;True;True;True;True;True;True;True;True	1021;1468;1623;2123;6342;6343;7339;9001;9602;12656;12714;14657;14658;14698;15238;16212	5870;5871;5872;5873;5874;5875;8454;8455;8456;8457;8458;8459;9376;9377;9378;9379;12167;12168;12169;12170;12171;12172;35995;35996;35997;35998;35999;36000;36001;36002;36003;41699;41700;41701;41702;41703;41704;41705;51228;51229;54709;71810;71811;71812;72209;72210;72211;83492;83493;83494;83495;83803;83804;83805;87002;87003;87004;87005;87006;92720;92721;92722;92723;92724;92725	4378;4379;4380;6288;6289;6290;6291;6292;6293;6970;9070;9071;26724;26725;26726;26727;26728;26729;26730;30984;30985;30986;30987;30988;30989;30990;38077;40605;53172;53173;53472;53473;62043;62044;62045;62311;62312;62313;64814;64815;64816;69212;69213;69214;69215	4378;6291;6970;9071;26730;30985;38077;40605;53173;53472;62044;62312;64814;69213	2;3	239;274
CON__P13645;CON__P02535-1;CON__Q7Z3Z0;CON__Q7Z3Y8;CON__Q148H6;CON__Q7Z3Y7;CON__Q2M2I5	CON__P13645	18;5;1;1;1;1;1	18;5;1;1;1;1;1	16;3;1;1;1;1;0		7	18	18	16	12	12	11	18	17	16	12	12	11	18	17	16	10	10	10	16	15	14	35.4	35.4	33.4	59.51	593	593;570;450;459;464;486;525	0	202.13	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	27.7	27.3	27.2	35.4	35.4	35.4	6838200000	608530000	586330000	638070000	1706600000	1759000000	1539600000	626450000	660780000	683630000	935960000	987990000	926670000	8	8	6	18	14	18	72			+	7	336;337;485;975;1987;3752;6048;7333;8500;11149;11262;11270;11851;11862;11863;12775;13927;15178	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	355;356;505;1024;2118;3970;6402;7756;8986;11926;12048;12056;12057;12670;12681;12682;13657;14869;16213	1998;1999;2000;2001;2002;2003;2823;2824;2825;2826;2827;2828;5884;5885;5886;5887;5888;5889;12139;12140;12141;12142;12143;12144;22548;22549;22550;36365;36366;36367;36368;36369;36370;44115;44116;44117;44118;44119;44120;44121;44122;44123;44124;44125;44126;51168;51169;67474;67475;67476;67477;67478;68150;68151;68152;68153;68154;68155;68156;68157;68158;68159;68205;68206;68207;68208;68209;68210;68211;68212;68213;68214;68215;68216;68217;71896;71897;71898;71899;71900;71901;72028;72029;72030;72031;72032;72033;72034;72035;72036;72037;72038;77546;77547;77548;77549;84860;84861;84862;92726;92727;92728;92729;92730;92731	1473;1474;1475;2124;2125;2126;2127;4385;4386;4387;4388;4389;4390;9051;9052;9053;16785;27015;27016;27017;27018;27019;27020;32881;32882;32883;32884;32885;32886;32887;32888;38032;49950;49951;49952;49953;50452;50453;50480;50481;50482;50483;50484;50485;50486;50487;50488;50489;53241;53242;53243;53244;53245;53246;53344;53345;53346;53347;53348;53349;57369;57370;57371;57372;63120;63121;63122;63123;69216;69217;69218;69219;69220	1473;1474;2125;4388;9051;16785;27020;32888;38032;49952;50453;50480;53246;53347;53349;57372;63122;69216	4	306
CON__P13647	CON__P13647	6	1	1		1	6	1	1	4	4	3	6	6	6	0	0	0	1	1	1	0	0	0	1	1	1	10.7	1.9	1.9	62.378	590	590	0	11.578	By matching	By matching	By matching	By matching	By matching	By MS/MS	7.1	7.6	4.6	10.7	10.7	10.7	141560000	0	0	0	48846000	50050000	42662000	0	0	0	0	0	27882000	0	0	0	0	0	1	1			+	8	4282;7379;9095;10961;11779;16260	False;True;False;False;False;False	4537;7805;9604;11716;12594;17367	25677;25678;25679;25680;25681;44350;44351;44352;54716;54717;54718;54719;54720;54721;66345;66346;66347;66348;66349;66350;71449;71450;71451;71452;71453;99608;99609;99610;99611	19024;19025;19026;33047;40610;40611;40612;49091;49092;49093;49094;49095;49096;52920;52921;52922;74532;74533;74534	19025;33047;40610;49093;52920;74533		
CON__P35527	CON__P35527	19	19	19		1	19	19	19	13	13	13	17	19	17	13	13	13	17	19	17	13	13	13	17	19	17	42.5	42.5	42.5	62.129	623	623	0	150.6	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	34.2	31	34.2	41.4	42.5	40.9	9062300000	644890000	661390000	666390000	2402900000	2585600000	2101200000	836710000	810790000	791810000	1277800000	1241000000	1138100000	6	7	10	15	17	18	73			+	9	2352;3443;5391;6394;7036;7722;8293;10646;10865;11303;11548;11572;11611;11921;12383;12384;14050;15589;15590	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2498;3656;5703;6759;7437;8160;8766;11365;11617;12090;12346;12370;12415;12743;12744;13241;13242;14997;16661;16662	14296;14297;14298;14299;14300;14301;20780;20781;20782;20783;20784;20785;32059;32060;32061;32062;32063;32064;32065;32066;32067;32068;38349;38350;38351;38352;38353;38354;38355;42362;42363;46306;46307;46308;49956;49957;49958;49959;49960;49961;64392;64393;64394;64395;64396;64397;64398;64399;65762;65763;65764;65765;65766;68388;68389;68390;69950;69951;69952;69953;69954;69955;70088;70089;70090;70091;70092;70093;70391;70392;70393;70394;70395;70396;72374;72375;72376;72377;72378;72379;72380;72381;72382;72383;72384;72385;75374;75375;75376;75377;75378;75379;75380;75381;75382;85584;85585;85586;95392;95393;95394;95395;95396;95397;95398	10574;10575;10576;10577;10578;15443;15444;15445;15446;23749;23750;23751;23752;28355;28356;28357;28358;28359;28360;28361;28362;31561;31562;34467;34468;34469;37166;37167;37168;47667;47668;47669;47670;48654;50601;50602;50603;51833;51834;51835;51836;51837;51838;51920;52173;52174;52175;52176;52177;52178;53584;53585;53586;53587;53588;53589;53590;53591;53592;53593;53594;53595;55932;55933;55934;55935;55936;63727;63728;71214;71215;71216;71217	10578;15443;23750;28360;31562;34468;37167;47669;48654;50602;51837;51920;52176;53594;55932;55936;63727;71214;71217	5;6	234;269
